id,name,Internal Reference,active,sale_ok,purchase_ok,list_price,standard_price,type,barcode,Brand,Model,Color,Size,categ_id,Image 1,Image 2
700285030746,Oakley Shifter 4.1 Black Smoke,700285030746,1,1,1,60,80,Stockable,700285030746,Oakley,Shifter 4.1,Black Smoke,53-18,E,e-oak-shifter41-blacksmoke_00.jpg,e-oak-shifter41-blacksmoke_01.jpg
700285034812,Oakley Gascan Crystal Black,700285034812,1,1,1,60,80,Stockable,700285034812,Oakley,Gascan,Crystal Black,60-17,S,s-oak-gascan-crystalblack_00.jpg,s-oak-gascan-crystalblack_01.jpg
700285035703,Oakley Eyepatch Nicky Hayden 69 Polished Black,700285035703,1,1,1,60,80,Stockable,700285035703,Oakley,Eyepatch Nicky Hayden 69,Polished Black,56-17,S,s-oak-eyepatchnickyhayden69-polishedblack_00.jpg,s-oak-eyepatchnickyhayden69-polishedblack_01.jpg
700285036137,Oakley Half Jacket Jet Black,700285036137,1,1,1,60,80,Stockable,700285036137,Oakley,Half Jacket,Jet Black,60-20,S,s-oak-halfjacket-jetblack_00.jpg,s-oak-halfjacket-jetblack_01.jpg
700285056685,Oakley Voltage 4.1 Brown,700285056685,1,1,1,60,80,Stockable,700285056685,Oakley,Voltage 4.1,Brown,53-18,E,e-oak-voltage41-brown_00.jpg,e-oak-voltage41-brown_01.jpg
700285056692,Oakley Voltage 4.1 Light Brown,700285056692,1,1,1,60,80,Stockable,700285056692,Oakley,Voltage 4.1,Light Brown,53-18,E,e-oak-voltage41-lightbrown_00.jpg,e-oak-voltage41-lightbrown_01.jpg
700285056708,Oakley Voltage 4.1 Black Fof,700285056708,1,1,1,60,80,Stockable,700285056708,Oakley,Voltage 4.1,Black Fof,53-18,E,e-oak-voltage41-blackfof_00.jpg,e-oak-voltage41-blackfof_01.jpg
700285056715,Oakley Voltage 4.1 Tortoise,700285056715,1,1,1,60,80,Stockable,700285056715,Oakley,Voltage 4.1,Tortoise,53-18,E,e-oak-voltage41-tortoise_00.jpg,e-oak-voltage41-tortoise_01.jpg
700285117928,Oakley Offline 4.0 Pewter Crimson ,700285117928,1,1,1,60,80,Stockable,700285117928,Oakley,Offline 4.0,Pewter Crimson,49-20,E,e-oak-offline40-pewtercrimson_00.jpg,e-oak-offline40-pewtercrimson_01.jpg
700285118390,Oakley Thread 4.0 Polished Black,700285118390,1,1,1,60,80,Stockable,700285118390,Oakley,Thread 4.0,Polished Black,50-20,E,e-oak-thread40-polishedblack_00.jpg,e-oak-thread40-polishedblack_01.jpg
700285118406,Oakley Thread 4.0 Polished Mercury,700285118406,1,1,1,60,80,Stockable,700285118406,Oakley,Thread 4.0,Polished Mercury,50-20,E,e-oak-thread40-polishedmercury_00.jpg,e-oak-thread40-polishedmercury_01.jpg
700285118413,Oakley Thread 4.0 Steel Brown,700285118413,1,1,1,60,80,Stockable,700285118413,Oakley,Thread 4.0,Steel Brown,50-20,E,e-oak-thread40-steelbrown_00.jpg,e-oak-thread40-steelbrown_01.jpg
700285118802,Oakley Spoke 2.0 Polished Black,700285118802,1,1,1,60,80,Stockable,700285118802,Oakley,Spoke 2.0,Polished Black,50-19,E,e-oak-spoke20-polishedblack_00.jpg,e-oak-spoke20-polishedblack_01.jpg
700285118819,Oakley Spoke 2.0 Polished Brown,700285118819,1,1,1,60,80,Stockable,700285118819,Oakley,Spoke 2.0,Polished Brown,50-19,E,e-oak-spoke20-polishedbrown_00.jpg,e-oak-spoke20-polishedbrown_01.jpg
700285118826,Oakley Spoke 2.0 Polished Midnight,700285118826,1,1,1,60,80,Stockable,700285118826,Oakley,Spoke 2.0,Polished Midnight,50-19,E,e-oak-spoke20-polishedmidnight_00.jpg,e-oak-spoke20-polishedmidnight_01.jpg
700285118901,Oakley Kickstand 2.0 Polished Black,700285118901,1,1,1,60,80,Stockable,700285118901,Oakley,Kickstand 2.0,Polished Black,51-19,E,e-oak-kickstand20-polishedblack_00.jpg,e-oak-kickstand20-polishedblack_01.jpg
700285118932,Oakley Kickstand 4.0 Midnight,700285118932,1,1,1,60,80,Stockable,700285118932,Oakley,Kickstand 4.0,Midnight,52-19,E,e-oak-kickstand40-midnight_00.jpg,e-oak-kickstand40-midnight_01.jpg
700285118963,Oakley Soft Top 6.0 Cappuccino,700285118963,1,1,1,60,80,Stockable,700285118963,Oakley,Soft Top 6.0,Cappuccino,49-15,E,e-oak-softtop60-cappuccino_00.jpg,e-oak-softtop60-cappuccino_01.jpg
700285118987,Oakley Soft Top 6.0 Grn,700285118987,1,1,1,60,80,Stockable,700285118987,Oakley,Soft Top 6.0,Grn,49-15,E,e-oak-softtop60-grn_00.jpg,e-oak-softtop60-grn_01.jpg
700285119472,Oakley Corkscrew 4.0 Matte,700285119472,1,1,1,60,80,Stockable,700285119472,Oakley,Corkscrew 4.0,Matte,53-19,E,e-oak-corkscrew40-matte_00.jpg,e-oak-corkscrew40-matte_01.jpg
700285119489,Oakley Corkscrew 2.0 Polished,700285119489,1,1,1,60,80,Stockable,700285119489,Oakley,Corkscrew 2.0,Polished,53-18,E,e-oak-corkscrew20-polished_00.jpg,e-oak-corkscrew20-polished_01.jpg
700285119571,Oakley Corkscrew  Polished,700285119571,1,1,1,60,80,Stockable,700285119571,Oakley,Corkscrew,Polished,53-17,E,e-oak-corkscrew-polished_00.jpg,e-oak-corkscrew-polished_01.jpg
700285119793,Oakley Double Down 4.0 Black Cherry,700285119793,1,1,1,60,80,Stockable,700285119793,Oakley,Double Down 4.0,Black Cherry,51-19,E,e-oak-doubledown40-blackcherry_00.jpg,e-oak-doubledown40-blackcherry_01.jpg
700285119823,Oakley Double Down 2.1 Black,700285119823,1,1,1,60,80,Stockable,700285119823,Oakley,Double Down 2.1,Black,53-17,E,e-oak-doubledown21-black_00.jpg,e-oak-doubledown21-black_01.jpg
700285120027,Oakley Gasket Cork,700285120027,1,1,1,60,80,Stockable,700285120027,Oakley,Gasket,Cork,53-17,E,e-oak-gasket-cork_00.jpg,e-oak-gasket-cork_01.jpg
700285120034,Oakley Gasket Black Red ,700285120034,1,1,1,60,80,Stockable,700285120034,Oakley,Gasket,Black Red,53-17,E,e-oak-gasket-blackred_00.jpg,e-oak-gasket-blackred_01.jpg
